dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
13K265,Dr. Susan S. McKinney Secondary School of the Arts,BROOKLYN ,6 to 12,40.696324,-73.97578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,9,0,0.024324324,5,0,5,0,0.79,1,1,1,370,339,1,35,3292390,26900.52,High School,0.922,0,NA
13K350,Urban Assembly High School of Music and Art,BROOKLYN ,9 to 12,40.697339,-73.985016,116,56,NA,NA,NA,NA,12,43,NA,84,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3,0,0.013574661,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,High School,0.873,0,0
13K412,Brooklyn Community Arts & Media High School (BCAM),BROOKLYN ,9 to 12,40.692642,-73.958794,201,62.9,0.472941176,42,57,0.098823529,115,49,0.270588235,172,60.8,0.404705882,67,57.1,0.157647059,12,40.5,0.028235294,NA,NA,NA,100,8,0,0.018823529,NA,NA,NA,NA,0.9,1,1,1,425,373,7.7,24,2748117,22499.59,High School,0.889,0,0
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",BROOKLYN ,9 to 12,40.697339,-73.985016,253,66.8,0.450177936,127,66.5,0.225978648,39,56.6,0.069395018,116,68.9,0.206405694,95,65.9,0.169039146,64,63.1,0.113879004,15,64.5,0.026690391,50,14,1,0.024911032,6,2,3,3,0.85,1,1,1,562,457,10.5,27,3093411,20140.33,High School,0.824,3,2
13K430,Brooklyn Technical High School,BROOKLYN ,9 to 12,40.688834,-73.976905,355,87.2,0.060808496,1541,87.1,0.26396026,1571,86.7,0.269099007,770,91.3,0.131894484,NA,NA,NA,1535,83.2,0.262932511,1681,82.9,0.287941076,400,119,0,0.020383693,8,2,4,4,0.49,0.96,0.93,1,5838,3548,28,237,26216253,16405.32,High School,0.626,8,3
13K439,Brooklyn International High School,BROOKLYN ,9 to 12,40.697339,-73.985016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,8,0,0.02259887,NA,NA,NA,NA,1,1,1,1,354,273,5,20,2141636,22323.33,High School,0.816,0,2
13K483,The Urban Assembly School for Law and Justice,BROOKLYN ,9 to 12,40.694682,-73.988853,178,60.6,0.396436526,4,NA,0.008908686,28,61,0.062360802,94,71.8,0.20935412,5,NA,0.011135857,NA,NA,NA,NA,NA,NA,40,9,0,0.020044543,NA,NA,NA,NA,0.97,0.92,0.83,0.83,449,346,7.7,23,2452141,20733.69,High School,0.784,1,0
13K499,ACORN Community High School,BROOKLYN ,9 to 12,40.678488,-73.962105,41,65.7,NA,7,42.7,NA,37,51.3,NA,31,56.5,NA,28,45.1,NA,11,56.9,NA,NA,NA,NA,100,5,0,0.025906736,2,1,1,1,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,High School,0.834,1,1
13K527,Urban Assembly Institute of Math and Science for Young Women,BROOKLYN ,6 to 12,40.694682,-73.988853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,0,0.020833333,NA,NA,NA,NA,1,1,0.8,0.9,480,407,14,23,2987336,20222.82,High School,0.858,0,2
13K595,Bedford Academy High School,BROOKLYN ,9 to 12,40.68538,-73.954302,51,77.1,0.14010989,89,72.5,0.244505495,22,79.4,0.06043956,58,80.1,0.159340659,27,82.6,0.074175824,30,71.3,0.082417582,8,73.1,0.021978022,100,8,0,0.021978022,1,1,1,0,1,1,1,1,364,260,4,18,2018148,20486.63,High School,0.742,5,NA
