"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"435","12X211","P.S./M.S. X211","BRONX    "," PK-8",40.843546,-73.889755,371,592,44.5,31.8,15.9,7.8,23.7,100,5,0,0.00836120401337793,"87%",0.5,0.38,0.63,0.93,569,525,16,30,4277351,23887.55,92985.8913043478
"436","12X212","P.S./M.S 212","BRONX    "," PK-8",40.828419,-73.900721,239,583,68.2,20.9,8.8,2.1,10.9,100,3,0,0.0068649885583524,"100%",NA,NA,NA,0.95,407,397,4,26,1912837,27297.33,63761.2333333333
"437","12X214","P.S. 214","BRONX    "," PK-8",40.839565,-73.880358,706,586,60.8,21.7,12.2,5.4,17.6,100,8,0,0.00742115027829314,"94%",1,0.92,1,0.894,1014,893,23,56,6716574,21698.13,85019.9240506329
"438","12X217","School of Performing Arts","BRONX    "," 6-8",40.822443,-73.893902,249,587,62.7,22.9,11.6,2.8,14.5,200,4,0,0.0133333333333333,"88%",0.75,0.86,0.88,0.95,300,289,9,15,2232836,28544.53,93034.8333333333
"439","12X242","Mott Hall V","BRONX    "," 6-12",40.831416,-73.877785,181,593,40.9,37,14.4,7.7,22.1,100,12,0,0.0175953079178886,"95%",0.92,0.75,0.67,0.87,682,578,18,38,4330746,22496.04,77334.75
"440","12X267","Bronx Latin","BRONX    "," 6-12",40.827743,-73.900105,151,591,52.3,24.5,15.9,7.3,23.2,100,12,0,0.0207253886010363,"98%",0.95,0.9,0.95,0.948,579,546,21,27,3912063,22187,81501.3125
"441","12X271","East Bronx Academy for the Future","BRONX    "," 6-12",40.836356,-73.888361,235,589,57,27.7,12.3,3,15.3,100,14,0,0.0208643815201192,"52%",0.91,0.91,0.91,0.927,671,616,17,44,4710347,24637.57,77218.8032786885
"442","12X273","Frederick Douglass Academy V","BRONX    "," 6-8",40.848472,-73.888561,198,589,56.1,29.3,10.6,4,14.6,100,1,0,0.00446428571428571,"87%",NA,NA,NA,0.893,224,199,8,6,1179211,25631.14,84229.3571428571
"443","12X286","Fannie Lou Hamer Middle School","BRONX    "," 6-8",40.831165,-73.887094,263,583,69.6,25.9,4.2,0.4,4.6,100,3,0,0.0108695652173913,"100%",0.9,0.8,0.8,0.884,276,240,12,12,1979168,27037.91,82465.3333333333
"444","12X300","The School of Science and Applied Learning","BRONX","PK-5",40.846128,-73.886721,274,585,59.1,25.5,12,3.3,15.3,NA,0,0,0,"90%",NA,NA,NA,0.901,596,534,6,43,4403483,25888.69,89867
"445","12X314","Fairmont Neighborhood School","BRONX","PK-5",40.834188,-73.886995,136,582,67.6,17.6,11.8,2.9,14.7,100,0,0,0,"52%",NA,NA,NA,0.95,286,278,9,20,2134957,28861.28,73619.2068965517
"446","12X316","Knowledge and Power Preparatory Academy III","BRONX    "," 6-8",40.845878,-73.886184,362,592,52.2,24.9,15.5,7.5,22.9,200,10,0,0.025974025974026,"100%",0.79,0.64,0.71,0.922,385,347,14,17,2027077,21449.21,65389.5806451613
"447","12X318","The School of Mathematics, Science and Technology through the Arts (I.S. 318)","BRONX    "," 6-8",40.843546,-73.889755,237,582,67.1,23.6,8.9,0.4,9.3,100,6,0,0.0234375,"100%",0.91,0.91,0.91,0.95,256,252,15,10,1736426,26794.09,69457.04
"448","12X341","ACCION Academy","BRONX    "," 6-8",40.842084,-73.891116,142,584,70.4,21.8,6.3,1.4,7.7,100,3,0,0.0198675496688742,"77%",NA,NA,NA,0.921,151,137,7,5,2450954,30690.72,204246.166666667
"449","12X372","Urban Assembly School for Wildlife Conservation","BRONX    "," 6-12",40.843945,-73.884788,NA,NA,NA,NA,NA,NA,NA,100,12,0,0.025369978858351,"0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","12X383","Emolior Academy","BRONX    "," 6-8",40.839565,-73.880358,252,586,60.7,25.4,10.3,3.6,13.9,100,4,0,0.0154440154440154,"96%",0.78,0.78,0.78,0.923,259,236,9,17,1775002,25009.11,68269.3076923077
"451","12X384","Entrada Academy","BRONX    "," 6-8",40.822443,-73.893902,NA,NA,NA,NA,NA,NA,NA,200,2,0,0.00803212851405622,"76%",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"452","12X458","Samara Community School","BRONX","PK-4",40.834188,-73.886995,37,582,59.5,16.2,24.3,0,24.3,100,0,0,0,"76%",NA,NA,NA,0.95,176,168,4,12,1684201,23767.11,105262.5625
"453","12X463","Urban Scholars Community School","BRONX","PK-5",40.828406,-73.900121,107,591,44.9,25.2,17.8,12.1,29.9,100,0,0,0,"94%",1,1,1,0.95,237,229,6,25,2784239,36388.83,89814.1612903226
"454","12X531","Archer Elementary School","BRONX","PK-5",40.838151,-73.866038,229,588,51.5,24,17.9,6.6,24.5,100,0,0,0,"92%",1,1,1,0.95,483,466,11,31,3185520,25796.93,75845.7142857143
"455","12X536","P.S. 536","BRONX","PK-5",40.838151,-73.866038,193,586,57.5,21.2,16.1,5.2,21.2,100,0,0,0,"90%",1,0.83,1,0.944,413,391,4,26,2496044,21509.38,83201.4666666667
"456","12X595","P.S. 595","BRONX","PK-2",40.846205,-73.889602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","12X691","Bronx Little School","BRONX","PK-5",40.838151,-73.866038,142,592,39.4,27.5,21.8,11.3,33.1,100,0,0,0,"100%",1,1,1,0.913,280,256,8,21,2093588,26002.77,72192.6896551724
"458","13K003","P.S. 003 The Bedford Village","BROOKLYN","PK-5",40.682311,-73.955219,144,589,48.6,27.8,16.7,6.9,23.6,100,0,0,0,"100%",0.4,0.4,0.4,0.925,337,318,4,26,2654939,24168.43,88497.9666666667
"459","13K008","Robert Fulton (P.S./M.S. 8)","BROOKLYN "," K-8",40.694926,-73.986015,449,610,9.6,18.5,33.4,38.5,71.9,10,4,0,0.00436681222707424,"88%",1,1,1,0.191,916,168,9.2,54.7,5144902,18730.25,80514.8982785602
"460","13K009","P.S. 009 Teunis G. Bergen","BROOKLYN","PK-5",40.678554,-73.966333,264,604,22.3,24.6,26.1,26.9,53,100,0,0,0,"58%",NA,NA,NA,0.423,780,334,10,48,5272600,20355.05,90906.8965517241
"461","13K011","P.S. 011 Purvis J. Behan","BROOKLYN","PK-5",40.685896,-73.96589,391,614,6.6,18.9,28.6,45.8,74.4,10,0,0,0,"64%",1,1,1,0.456,822,381,23,26,4405969,17950.39,89917.7346938775
"462","13K020","P.S. 020 Clinton Hill","BROOKLYN","PK-5",40.690742,-73.970896,156,608,11.5,23.1,34,31.4,65.4,100,0,0,0,"100%",NA,NA,NA,0.632,403,274,4,26,2864507,21676.26,95483.5666666667
"463","13K044","P.S. 044 Marcus Garvey","BROOKLYN","PK-5",40.686213,-73.940859,56,590,44.6,26.8,25,3.6,28.6,100,0,0,0,"60%",NA,NA,NA,0.95,128,124,1.7,15,1299707,32408.75,77826.7664670659
"464","13K046","P.S. 046 Edward C. Blum","BROOKLYN","PK-5",40.69453,-73.971644,118,589,41.5,35.6,17.8,5.1,22.9,20,0,0,0,"93%",NA,NA,NA,0.9,238,222,3,23,2232652,29583.89,85871.2307692308
"465","13K054","P.S. 054 Samuel C. Barnes","BROOKLYN","PK-5",40.692616,-73.952504,87,585,59.8,18.4,17.2,4.6,21.8,10,0,0,0,"100%",NA,NA,NA,0.942,178,170,9,16,1970602,28792.2,78824.08
"466","13K056","P.S. 056 Lewis H. Latimer","BROOKLYN","PK-5",40.684286,-73.960536,89,586,52.8,27,14.6,5.6,20.2,100,0,0,0,"73%",NA,NA,NA,0.758,197,160,4.7,16,2157647,30120.77,104234.154589372
"467","13K067","P.S. 067 Charles A. Dorsey","BROOKLYN","PK-5",40.695339,-73.977674,96,593,45.8,25,13.5,15.6,29.2,50,0,0,0,"100%",NA,NA,NA,0.95,201,200,7,14,1774448,29342.67,84497.5238095238
"468","13K093","P.S. 093 William H. Prescott","BROOKLYN","PK-5",40.679079,-73.946381,103,590,42.7,35,14.6,7.8,22.3,100,0,0,0,"82%",NA,NA,NA,0.95,245,240,3.2,18,1887487,24088.26,89032.4056603774
"469","13K113","Ronald Edmonds Learning Center (M.S. 113)","BROOKLYN "," 6-8",40.688811,-73.971009,276,589,52.9,33,12.7,1.4,14.1,200,4,0,0.0131147540983607,"85%",1,1,1,0.925,305,278,4,22,2901572,26421.23,111598.923076923
"470","13K133","P.S. 133 William A. Butler","BROOKLYN","PK-5",40.679916,-73.980455,297,604,18.5,23.6,29.6,28.3,57.9,200,1,0,0.00129198966408269,"88%",1,1,1,0.371,722,260,17,40,4743514,21101.35,83219.5438596491
"471","13K256","P.S. 256 Benjamin Banneker","BROOKLYN","PK-5",40.690595,-73.94961,93,600,32.3,21.5,26.9,19.4,46.2,100,0,0,0,"78%",NA,NA,NA,0.95,213,207,2,16,1503885,28426.77,83549.1666666667
"472","13K265","Dr. Susan S. McKinney Secondary School of the Arts","BROOKLYN "," 6-12",40.696324,-73.97578,92,585,67.4,27.2,2.2,3.3,5.4,100,9,0,0.0243243243243243,"79%",1,1,1,0.922,370,339,1,35,3292390,26900.52,91455.2777777778
"473","13K266","Park Place Community (M.S. 266)","BROOKLYN "," 6-8",40.679097,-73.94684,130,594,44.6,33.8,14.6,6.9,21.5,100,4,0,0.025,"87%",NA,NA,NA,0.869,160,135,4,11,1401825,29238.88,93455
"474","13K270","P.S. 270 Johann DeKalb","BROOKLYN","PK-5",40.691275,-73.961134,40,590,47.5,27.5,12.5,12.5,25,100,0,0,0,"93%",NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA
"475","13K282","P.S. 282 Park Slope","BROOKLYN","PK-5, 7-8",40.676649,-73.977983,369,599,30.9,29.5,23,16.5,39.6,100,3,0,0.00404312668463612,"20%",NA,NA,NA,0.559,661,377,9,47,4386100,23922.6,78323.2142857143
"476","13K287","P.S. 287 Bailey K. Ashford","BROOKLYN","PK-5",40.697856,-73.98112,87,582,62.1,28.7,8,1.1,9.2,100,0,0,0,"78%",NA,NA,NA,0.933,166,157,8.5,9.7,1211584,29019.15,66570.5494505495
"477","13K301","Satellite East Middle School","BROOKLYN "," 6-8",40.686076,-73.945229,83,589,51.8,37.3,10.8,0,10.8,50,2,0,0.0202020202020202,"90%",NA,NA,NA,0.949,99,94,2,7,997787,35246.73,110865.222222222
