DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,School Type,Student Enrollment,Full Time certified STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Building Code,Mbps Bandwidth,Local School Code,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Total Teacher Response Rate,a.agree,b.agree,c.agree,3rd Mean Scale Score,3rd % Level 1,3rd % Level 2,3rd % Level 3,3rd % Level 4,3rd % Level 3+4,4th Mean Scale Score,4th % Level 1,4th % Level 2,4th % Level 3,4th % Level 4,4th % Level 3+4,5th Mean Scale Score,5th % Level 1,5th % Level 2,5th % Level 3,5th % Level 4,5th % Level 3+4,Gradespan,Address,Latitude,Longitude,% Poverty,Economic Need Index
28Q182,P.S. 182 Samantha Smith,,,,,Elementary (K-5),760,0,0,0,Q277,10,Q182,760,735,5,55.6,5069888,25220.74,84,100,90,100,594.1746216,34.92063522,17.46031761,32.5396843,15.07936478,47.61904907,590.2857056,42.8571434,34.58646774,15.03759384,7.518796921,22.55639076,588.5302734,55.30303192,25,13.63636398,6.060606003,19.69696999,K-5,"153-27 88TH AVENUE, QUEENS NY 11432",40.70675,-73.803183,0.95,0.817
28Q206,P.S. 206 The Horace Harding School,,,,,Elementary (K-5),610,0,0,0,Q206,10,Q206,574,454,5,39,4108563,21856.84,76,,,,600.7816162,16.09195328,22.98850632,39.08045959,21.83908081,60.91954041,592.8539429,38.20224762,32.58427048,17.97752762,11.23595524,29.21348381,595.5168457,44.94382095,24.71910095,16.85393333,13.48314571,30.33707809,PK-5,"61-02 98 STREET, QUEENS NY 11374",40.73404,-73.861004,0.789,0.68
28Q220,P.S. 220 Edward Mandel,,,,,Elementary (K-5),706,0,0,0,Q220,10,Q220,670,495,6,39,3927086,21408.08,83,100,100,100,600.3465576,26.73267365,21.78217888,25.74257469,25.74257469,51.48514938,601.6079712,24,23.20000076,20.79999924,32,52.79999924,596.2105103,47.36841965,15.78947353,13.68421078,23.15789413,36.84210587,PK-5,"62-10 108 STREET, QUEENS NY 11375",40.736314,-73.852621,0.749,0.643
28Q303,The Academy for Excellence through the Arts,,,,,Elementary (K-5),207,0,0,0,Q003,100,Q303,171,43,4,10,1288686,22393.53,100,,,,629.0571289,0,2.857142925,17.1428566,80,97.14286041,,,,,,,,,,,,,PK-4,"108-55 69 AVENUE, QUEENS NY 11375",40.725787,-73.844032,0.246,0.231
28Q312,Jamaica Children's School,,,,,Elementary (K-5),153,0,0,0,Q040,10,Q312,153,140,10,6,1417025,23368.17,87,,,,592.125,25,46.875,21.875,6.25,28.125,,,,,,,,,,,,,K-4,"109-20 UNION HALL STREET, QUEENS NY 11433",40.693559,-73.790975,0.935,0.813
29Q015,P.S. 015 Jackie Robinson,,,,,Elementary (K-5),433,0,0,0,Q015,10,Q015,397,299,10,18,2071145,20278.58,86,,,,592.9031982,35.48387146,29.03225899,27.41935539,8.064516068,35.48387146,593.4500122,40,28.75,15,16.25,31.25,594.446167,47.69230652,24.61538506,15.38461494,12.30769253,27.69230843,PK-5,"121-15 LUCAS STREET, QUEENS NY 11413",40.68605,-73.756546,0.753,0.635
29Q033,P.S. 033 Edward M. Funk,,,,,Elementary (K-5),974,0,0,0,Q033,20,Q033,974,799,3,54.7,5621738,20666.42,100,,,,600.1773071,24.1134758,19.14893532,31.20567322,25.53191566,56.73758698,598.6824341,20.94594574,37.83783722,22.29729652,18.91891861,41.21621704,597.8289185,32.89473724,26.31579018,23.68420982,17.10526276,40.78947449,K-5,"91-37 222 STREET, QUEENS NY 11428",40.727172,-73.734102,0.821,0.611
29Q034,P.S. 034 John Harvard,,,,,Elementary (K-5),580,0,0,0,Q034,10,Q034,544,494,18,19,2864651,20698.47,51,,,,600.1494141,24.13793182,27.58620644,24.13793182,24.13793182,48.27586365,597.8163452,28.5714283,32.65306091,13.26530647,25.51020432,38.77550888,597.1953735,35.63218307,24.13793182,24.13793182,16.09195328,40.2298851,PK-5,"104-12 SPRINGFIELD BOULEVARD, QUEENS NY 11429",40.710986,-73.737702,0.909,0.664
29Q035,P.S. 035 Nathaniel Woodhull,,,,,Elementary (K-5),706,0,0,0,Q035,10,Q035,674,605,7,40,4041355,21385.11,58,,,,598.2374878,18.75,27.5,42.5,11.25,53.75,595.7999878,31.76470566,27.05882263,24.70588303,16.47058868,41.17647171,594.2015991,39.51612854,29.03225899,16.93548393,14.51612949,31.45161247,PK-5,"191-02 90 AVENUE, QUEENS NY 11423",40.713438,-73.768894,0.902,0.748
29Q036,P.S. 036 Saint Albans School,,,,,Elementary (K-5),449,0,0,0,Q036,10,Q036,449,316,7,31,2574185,22835.24,56,,,,593.9180298,31.14754105,37.70491791,24.59016418,6.557376862,31.14754105,591.859375,34.375,46.875,9.375,9.375,18.75,587.0333252,62.22222137,25.55555534,8.888889313,3.333333254,12.22222233,K-5,"187-01 FOCH BOULEVARD, QUEENS NY 11412",40.691306,-73.764081,0.724,0.735
