DBN,School Name,School Type.x,Borough,Latitude,Longitude,Math Proficiency,# of Comp Sci Courses,Mbps Bandwidth,PD17a,PD17b,PD17c,Scaled Mean Score,Poverty Percent,FRPL,TSFPP,Average Teacher Salary,PLVL34,Stem Activities Count,School Type.y,Ratio of Full Time Licensed STEM Teachers to Students*
21K121,Nelson A. Rockefeller (P.S./I.S. 121) Magnet School of Applied Life Sciences,K-8,BROOKLYN,40.623273,-73.978822,51,,10,0,0,0,29.66666667,65.2,216,35628.61,83511.06776,0.494382022,0,K-8,1:168
15K448,Brooklyn Collaborative,Secondary (6-12),BROOKLYN,40.68007,-74.001377,,1,200,0,6,6,17.66666667,69.8,,,,0.150943396,0,Secondary (6-12),14:681
21K209,The Margaret Mead School (P.S. 209),K-8,BROOKLYN,40.586845,-73.96198,45,,10,0,0,0,61,79.9,557,24931.45,88255.72165,0.448087432,0,K-8,2:733
21K225,The Eileen E. Zaglin School (P.S. 225),K-8,BROOKLYN,40.579737,-73.956329,27,,20,,,,121,78.2,738,25297.14,84704.5625,0.41046832,0,K-8,2:337
21K226,Alfred De B. Mason (P.S./ I.S. 226),K-8,BROOKLYN,40.615252,-73.97635,43,,10,0,13,0,98,86.5,,,,0.56122449,0,K-8,2:515
21K228,David A. Boody (I.S. 228),Middle (6-8),BROOKLYN,40.6013,-73.976953,39,,40,0,0,0,377,80.9,1047,20497.56,82968.42159,0.578249337,3,Middle (6-8),25:1311
21K238,The Anne Sullivan School (P.S./I.S. 238),K-8,BROOKLYN,40.608862,-73.965058,21,6,10,0,0,0,58.66666667,84.6,449,26550.48,84514.80072,0.221590909,1,K-8,3:611
21K239,Mark Twain for the Gifted & Talented (I.S. 239),Middle (6-8),BROOKLYN,40.578188,-73.99203,84,3,40,0,0,0,382,38.4,499,18071.78,98364.73177,0.895287958,1,Middle (6-8),19:1322
21K281,Joseph B. Cavallaro (I.S. 281),Middle (6-8),BROOKLYN,40.595341,-73.993457,49,,40,9,16,9,388,87.4,1159,20920.68,87365.06522,0.521477663,2,Middle (6-8),7:667
21K288,The Shirley Tanyhill School (P.S./I.S. 288),K-8,BROOKLYN,40.574411,-73.99194,8,,20,,,,49.66666667,93.5,591,23503.15,90085.83019,0.140939597,0,K-8,1:221
21K303,Herbert S. Eisenberg (I.S. 303) Academy for Career Exploration,Middle (6-8),BROOKLYN,40.5825,-73.973122,33,,20,18,27,27,175.6666667,78.6,414,21634.32,98421.97492,0.25426945,0,Middle (6-8),3:538
21K468,The Kingsborough Early College Secondary School,Secondary (6-12),BROOKLYN,40.594291,-73.98577,31,1,50,0,0,0,75,72.3,465,19739.52,94584.64,0.275555556,0,Secondary (6-12),10:657
27Q042,R. Vernam (P.S./M.S. 42),K-8,QUEENS,40.594538,-73.795304,3,,50,25,19,19,48.33333333,95,597,27255.94,80614.34251,0.062068966,0,K-8,3:658
27Q043,P.S./M.S. 43,K-8,QUEENS,40.593834,-73.76174,11,,100,,,,50,91.7,767,23268.11,86561.54412,0.206666667,,K-8,1:901
27Q202,Robert H. Goddard (M.S. 202),Middle (6-8),QUEENS,40.67124,-73.845141,31,,40,0,0,0,282,81.2,876,19515.01,90114.06849,0.368794326,1,Middle (6-8),11:1097
27Q047,Chris Galas (P.S./M.S. 47),K-8,QUEENS,40.606353,-73.820445,56,7,10,,,,13,35.2,70,33200.19,93345.57851,0.41025641,0,K-8,1:216
27Q053,Brian Piccolo (I.S. 53),Middle (6-8),QUEENS,40.603622,-73.749097,6,,100,9,0,0,78.33333333,83.1,216,33166.89,72373.35714,0.076595745,0,Middle (6-8),1:89
27Q309,Academy of Medical Technology,Secondary (6-12),QUEENS,40.60201,-73.762795,10,1,200,7,14,14,62.66666667,80,502,20579.75,88616.66667,0.063829787,1,Secondary (6-12),5:213
